#	Fracture
2HPP	2 Hour PostPrandial
ISMP	Indigenous Systems of Medicine Practitioners
ISO	ISOpropyl alcohol.
ISS	Inpatient Services Specialist
ISSP	Indian Society For Support Of Pain
ISTC	Independent Sector Treatment Centre
ISTH	Irrua Specialist Teaching Hospital
ITEC	International Therapy Examination Council
ITP	Idiopathic thrombocytopenic purpura
ITSP	Individual Treatment and Service Plan
ITT	Intention To Treat
ITU	Intensive Therapy Unit
IU	International Units
IUAL	Internal Ultrasound Assisted Lipoplasty
IUC	Indwelling Urethral Catheter
IUDE	In Utero Drug Exposure
IUI	Intra-Uterine Injection
IUP	Intra-Uterine Pregnancy
IUPC	Intra-Uterine Pressure Catheter
IVAD	Intracranial Vertebral Artery Dissection
IVAD	Implanted Vascular Access Device
IVAH	Indian Valley Animal Hospital
IVD	In-Vitro Diagnostics
IVF	Intra-Venous Fluid
IVIG	IntraVenous Immune Globulin
IVIG	Intravenous immunoglobulin
IVP	IntraVenous Pyelography
IVP	Intravenous Pyelogram
IVS	Internal Value Structure
IVU	Intra-Venous Urogram
IVUS	Intra-Vascular Ultra-Sound
IWK	Izaak Walton Killam hospital for children
IWT	Incentive Work Therapy
JAM	Juvenile Arthritis Matters
JAS	Juvenile ankylosing spondylitis
JBH	Japan Baptist Hospital
JBMH	Joseph Brant Memorial Hospital
JCAH	Joint Commission on Accreditation of Hospitals
JCAHO	Joint Commission on Accreditation of Healthcare Organizations
JCH	Jersey Community Hospital
JCIA	Joint Commission International Accreditation
JCMH	Jackson County Memorial Hospital
JCMH	James Connolly Memorial Hospital
JCMH	Jefferson Center for Mental Health
JCMH	Jackson County Mental Health
JCPT	Joint Counts for Pain and Tenderness
JCSH	Johnson City Specialty Hospital
JD	Jobless Doctors
JEH	Jennie Edmundson Hospital
JFCH	John F Cotton Hospital
JGH	Jefferson General Hospital
JGH	Jackson General Hospital
JGH	Jewish General Hospital
JHAH	Jhons Hopkins Aramco Healthcare
JHD	Juvenile Huntington's disease
JHH	Johns Hopkins Hospital
JHH	Jewish Home and Hospital
JHI	Journal of Hospital Infection
JHM	Journal of Hospital Medicine
JHN	Jefferson Hospital for Neuroscience
JHRML	Jewish Hospital- Rothschild Medical Library
JHU	Johns Hopkins University
JIMCH	Jahurul Islam Medical College & Hospital
JMH	Johnston Memorial Hospital
JMH	Jackson Memorial Hospital
JMH	Johnson Memorial Hospital
JMH	Jones Memorial Hospital
JNH	Jeddah National Hospital
JODM	Juvenile onset diabetes mellitus
JPH	Jackson Park Hospital
JPMC	Jinnah Postgraduate Medical Centre
JRA	Juvenile rheumatoid arthritis
JRMC	Jefferson Regional Medical Center
JSAH	John Street Animal Hospital
JSH	Jersey Shore Hospital
JSMC	Jennie Stuart Medical Center
JSMC	Jersey Shore University Medical Center
JSSH	Janakpuri Super Specialty Hospital
JSSH	Janakpuri Super Speciality Hospital
JUH	Jordan University Hospital
JUSH	Jimma University Specialized Hospital
JVMC	Joan Viteri Memorial Clinic
K	Ketamine
KACH	Keller Army Community Hospital
KACH	Knoxville Area Community Hospital
KACH	Kenner Army Community Hospital
KAH	Kindness Animal Hospital
KAH	King Abdulaziz Hospital
KAO	Kicking AIDS Out
KAP	Knowledge Application Programme
KATH	Komfo Anokye Teaching Hospital
KAUH	King Abdullah University Hospital
KBTH	Korle Bu Teaching Hospital
KCH	Kosciusko Community Hospital
KCH	Kona Community Hospital
KCH	Knox Community Hospital
KCH	King's College Hospital
KCH	Kane Community Hospital
KCH	Kurdistan Children's Hospital
KCH	Kentucky Children's Hospital
KCHD	Kiowa County Hospital District
KCI	Potassium Chloride
KCMC	Kershaw County Medical Center
KCMC	Kilimanjaro Christian Medical Center
KCMH	King Chulalongkorn Memorial Hospital
KDH	Kilifi District Hospital
KEMH	King Edward Memorial Hospital
KET	Ketamine
KFCK	Kidney Foundation of Central Kentucky
KFH	King Faisal Hospital
KFH	Kaiser Foundation Hospital
KFH	King Fahad Hospital
KFHJ	King Fahad Hospital in Jeddah
KFHJ	King Fahad Hospital Jeddah
KFHJ	King Fahd Hospital Jeddah
KFHK	King Faisal Hospital Kigali
KFHU	King Fahd Hospital of University
KFMC	King Fahad Medical City
KFSH	King Faisal Specialist Hospital
KFSHD	King Fahad Specialist Hospital Dammam
KGF	Keratinocyte growth factor
KGH	Kennewick General Hospital
KGH	Kingston General Hospital
KGH	King George Hospital
KH	Kingston Hospital
KHA	Kansas Hospital Association
KHA	Kentucky Hospital Association
KHB	Kansas Hospital Board
KHH	Kansas Heart Hospital
KHMH	Karl Heusner Memorial Hospital
KHMH	Karl Huesner Memorial Hospital
KHN	Keweenaw Home Nursing and Hospice
KIH	Kulsum International Hospital
KIHD	Karachi Institute of Heart Diseases
KIMS	Kerala Institute of Medical Science
KIMS	Kerala Institute of Medical Sciences
KISS	Keep It Simple And Sequential
KKH	KK Hospital
KKH	Kandang Kerbau Hospital
KMfH	Knowledge Management for Health Programme
KMH	Kikuna Memorial Hospital
KNH	Kenyatta National Hospital
KNMH	Kamala Nehru Memorial Hospital
KNMH	Kamla Nehru Memorial Hospital
KNMH	Kuppuswamy Naidu Memorial Hospital
KNWB	Kootenay Network for Well Being
KOHIN	Keep Our Hospital in Norwich
KOOS	Knee injury and Osteoarthritis Outcome Score
KP	Kidney and Pancreas
KPH	Kingston Public Hospital
KPH	Kingston Psychiatric Hospital
KPH	Kaiser Permanente Hospital
KPPH	Kamphaeng Phet Provincial Hospital
KPSC	Kaiser Permanente Southern California
KS	Kawasaki syndrome
KSH	Kuantan Specialist Hospital
KSPH	Kai suan Psychiatric Hospital
KSS	Kearns–Sayre syndrome
KTH	Khyber Teaching Hospital
KTPH	Khoo Teck Puat Hospital
KTS	Klippel–Trenaunay syndrome
KTW	Klippel–Trenaunay–Weber syndrome
KUB	Kidneys, Ureter, and Bladder (x-ray or CAT scan)
KUH	Kuopio University Hospital
KVO	Keep Vein Open
KWH	Kwong Wah Hospital, Hong Kong
L	Lactose
L&D	Labor and Delivery
L-DOPA	Levodopa
LA	Local Anesthesia
LAD	LymphADenopathy
LADA	Latent autoimmune diabetes in adults
LAMA	Left Against Medical Advice
LAOH	Los Angeles Orthopaedic Hospital
LAR	Laprascopic Anterior Resection
LAS	Lasofoxifene
LASAR	Laboratory Analytical Storage And Retrieval
LASEK	Laser-Assisted Sub-Epithelial Keratectomy
LASUTH	Lagos State University Teaching Hospital
LAUP	Laser-Assisted Uvulopalatoplasty
LB	Little Baby
LBCT	Left Before Completing Treatment
LBDH	Los Banos Doctors Hospital
LBOH	Local Board Of Health
LBVAH	Long Beach Veterans Administration Hospital
LBW	Low Birth Rate
LCB	Long Centre Branch
LCC	Low Clearance Clinic
LCCH	Lake Chelan Community Hospital
LCCWG	Longitudinal Coordination of Care Workgroup
LCHS	Lincoln Christ's Hospital School
LCM	Lymphocytic choriomeningitis
LCMC	Lincoln County Medical Center
LCMC	Labette County Medical Center
LCPH	Livermore Country Pet Hospital
LCS	Laparoscopic Coagulation Shears
LCU	Life Changing Unit
LD	Labor & Delivery
LD	Learning disabilities
LD	Legionnaires' disease
LDCT	Low-Dose Computed Tomography
LDHS	Loomis Digestive Health Specialist
LDN	Low Dose Naltrexone
LDO	Local Dental Officer
LDPH	Lady Davidson Private Hospital
LDRP	Labor, Delivery, Recovery, and Postpartum
LDRP	Learning Disabilities Research Practice
LDRP	Labour Delivery Recover Postpartum suite
LEADERS	Lightweight Epidemiology Advanced Detection and Emergency Response System
LEC	Local Ethics Committee
LED	Lamp Enhanced Display
LEH	London Eye Hospital
LEMS	Lambert–Eaton myasthenic syndrome
LEP	Limited English Proficient
LFA	Low-functioning autism
LFAH	Louisville Family Animal Hospital
LFAH	Little Falls Animal Hospital
LFDS	Large Facility Demarcation System
LFH	Lake Forest Hospital
LFT	Liver Function Test
LFT	Liver Function Tests
LGH	Lancaster General Hospital
LGH	Lowell General Hospital
LGH	Lawrence General Hospital
LGH	Lynchburg General Hospital
LGH	Leicester General Hospital
LGH	Lutheran General Hospital
LGI	Low Glycemic Index
LGSH	Lafayette General Surgical Hospital
LGV	Lymphogranuloma venereum
LH	L Hospitals
LHA	Louisiana Hospital Association
LHBC	London Hospital Bone Cement
LHMC	London Hospital Medical College
LHRP	Leapfrog Hospital Rewards Program
LHT	London Hospital Tavern
LHV	Lady Health Visitor
LICH	Long Island College Hospital
LIFE	Lifestyle Information Fitness Education
LIFE	Laser Induced Fluorescence Endoscopy
LIFE	Lifesaving Information For Emergencies
LIFT	Local Implementation Finance Trust
LIMS	Laboratory Information Management System
LIPS	Ladies in Philanthropy for Southlake (Regional Hospital, Newmarket, Ontario)
LKS	Landau–Kleffner syndrome
LLBW	Lighter Low Birth Weight
LLUCH	Loma Linda University Children's Hospital
LLUCMC	Loma Linda University Community Medical Center
LLUPTC	Loma Linda University Proton Treatment Center
LMC	Local Medical Committee
LMF	Licentiate Medical Faculty
LMH	Lawrence Memorial Hospital
LMH	Licking Memorial Hospital
LMH	Lenoir Memorial Hospital
LMH	Lee Memorial Hospital
LMH	Langlade Memorial Hospital
LMHC	Lakeview Manor Healthcare Center
LMN	Letter of Medical Necessity
LMRP	Local Medical Review Policy
lms	Laboratory Management System
LNH	Liaquat National Hospital
LNS	Lesch–Nyhan syndrome
LOA	Live On Arrival
LOC	Level Of Care
LOC	Length Of Confinement
LOC	Loss Of Consciousness
LOCAT	Level Of Care Assessment Tool
LODD	Line of Duty Deaths
LOL	Lots Of Labefactation
LOM	Local Medical Officer
LOS	Length Of Stay
LOT	Length of Time
LP	Lumbar Puncture
LP	Lipoid proteinosis
LPA	Locally Preferred Alternative
LPAH	Lums Pond Animal Hospital
LPC	Laurel Pregnancy Center
LPCH	Lucile Packard Children Hospital
LPGH	Las Pinas General Hospital
LPH	Leopardstown Park Hospital
LPLV	Last Patient Last Visit
LPMHC	Licenced Professional Mental Health Counselors
LPN	Licensed Practical Nurse
LPN	Laparoscopic Partial Nephrectomy
LPN	Licensed Professional Nurse
LPNI	Langley Porter Neuropsychiatric Institute
LPNs	Licensed practical nurses
LR	Litter Request
LRGH	Lakes Region General Hospital [NH]
LRH	Latrobe Regional Hospital
LRH	Lady Reading Hospital
LRH	Littleton Regional Hospital
LRRH	Lafayette Regional Rehabilitation Hospital
LRS	Lactated Ringer's Solution
LRTI	Lower Respiratory Tract Infection
LSCSW	Licensed Specialist Clinical Social Worker
LSD	Lysergic acid diethylamide
LSH	Laredo Specialty Hospital
LSHTM	London School of Hygiene and Tropical Medicine
LSL	LifeStyle Lift
LSO	Local Serving Office
LSO	Left Salpingo-Oophorectomy
LSR	Life Saving Rule
LSSH	Lafayette Surgical Specialty Hospital
LSTAT	Life Support for Trauma And Transport
LSTH	Landing Ship, Tank Hospital
LSU	Life Support Unit
LSVT	Lee Silverman Voice Treatment
LSW	Left sided weakness
LTAC	Long Term Acute Care
LTAC	Long-Term Acute Care Hospital
LTACS	long term acute care facility/ies
LTAH	Lake Travis Animal Hospital
LTC	Long Term Care
LTCF	Long-Term Care Facility
LTCH	Long-Term Acute Care Hospital
LTCH	Long-Term Care Hospital
LTCH	Long Term Care Hospitals
LTMGH	Lokmanya Tilak Municipal General Hospital
LTMH	Lt Tidang Memorial Hospital
LTO	Life Threatening Only
LTPAC	Long-Term Post-Acute Care
LTPD	Long Term Peritoneal Dialysis
LTS	Long Term Stay
LTSS	Long Term Care, Supports and Services
LTSS	Long-Term Services and Supports
LTVH	Lake Tapps Veterinary Hospital
LTWI	Lake Tahoe Wellness Institute
LUTH	Lagos University Teaching Hospital
LV	Lifecare Vehicle
LVH	Lehigh Valley Hospital
LVHHN	Lehigh Valley Hospital and Health Network
LVR	Laser Vaginal Rejuvenation
LVRS	Lung Volume Reduction Surgery
LWBS	Leave Without Being Seen
LWMC	Livingston Wheeler Medical Clinic
M&M	Morbidity and Mortality
M.I.O.	Medical Information Officer
M/F/V/H	Male/ Female/ Veteran/ Handicap
MA	Mercury Amalgam
MA	Motorcycle Accident
MA	Medical Appointment
MA	Medical Accident
MA	Medicare Advantage
MAAM	Maternal Analgesia and Anaesthesia Matters
MAAM	Mammograms Annually A Must
MAC	Monitored Anaesthesia Care
MAC	Medication Access Computer
MAC	Morning and Afternoon Care
MAC	Minimum Alveolar Concentration
MAC	Mycobacterium avium complex
MACH	Martin Army Community Hospital
MACP	Meningococcal A + C Polysaccharide vaccine
MACS	Maroondah Approach to Clinical Services
MAD	Medical Assistance Division
MAD	Medical Assessment of Donors
MAE	Moves All Extremities
MAF	Multidimensional Assessment of Fatigue
MAGIC	Metabolic Assistance Group Intervention Clinic
malERA	Malaria Eradication Research Agenda
MAMC	Madigan Army Medical Center
MAP	Medical Assistance Program
MAP	Mean Arterial Pressure
MAP	Mycobacterium Avium subspecies Paratuberculosis
MAP	Morning-after pill
MAPD	Medicare Advantage Prescription Drug plan
MAR	Medication Administration Records
MAR	Medication Administration Record
MAR	Minimum Angle of Resolution
MASH	Mobile Army Surgical Hospital
MASH	Municipal Academic Schools and Hospitals
MAST	Medical Anti-Shock Trousers
MAST	Minimal Access Spinal Technologies
MAT	Multifocal Atrial Tachycardia
Matty	Maternity [U.K.]
MAU	Medical Assessment Unit
MAYO	Maniacial All Yaoi Organization
MB	Miracle Baby
MBBS	Bachelor of Medicine/ Bachelor of Surgery
MBBS	Bachelor of Medicine and Bachelor of Surgery
MBC	Medical Board of California
MBD	Minimal brain dysfunction
MBHC	Montefiore Behavioral Health Center
MBHD	Mboppi Baptist Hospital Douala
MBHS	Mississippi Baptist Health Systems
MBMC	Missouri Baptist Medical Center
MBMC	Mississippi Baptist Medical Center
MBMC	Mile Bluff Medical Center
MBRCC	Mary Babb Randolph Cancer Center
MBS	Modified Barium Swallow Study
MBUC	Monterey Bay Urgent Care
MC	Medical Care
MCADD	Medium-chain acyl-coenzyme A dehydrogenase deficiency
MCAS	Mast Cell Activation Syndrome
MCC	MotorCycle Crash
MCC	Metropolitan Clinics of Counseling
MCCH	Murray Calloway County Hospital
MCEC	Mendick Cardiac Evaluation Center
MCEP	Michigan College Of Emergency Physicians
MCH	Maternal Child Health
MCH	Memorial Community Hospital
MCH	Miami Children's Hospital
MCH	National Center for Education in Maternal and Child Health
MCH	Medical Center Hospital
MCH	Maternity and Children Hospital
MCH	Monroe Community Hospital
MCHD	Montgomery County Hospital District
MCHD	Moore County Hospital District
MCHV	Medical Center Hospital of Vermont
MCI	Medical Council of India
MCIF	Medical Currency Information File
MCIP	Male Contraception Information Project
MCL	Mid-Clavicular Line
MCL	Minimum Cleanliness Level
MCMH	Montgomery County Memorial Hospital
MCMH	Madison County Memorial Hospital
MCMH	Maine Coast Memorial Hospital
MCMH	Milton Cato Memorial Hospital
MCO	Managed Care Organization
MCPH	Medical College of Pennsylvania Hospital
MCPI	Medical Care Price Index
MCS	Multiple chemical sensitivity
MCSD	Mechanical Circulatory Support Device
MCSO	Medical Child Support Order
MCSU	Mass Casualty Support Unit
MCTD	Mixed Connective Tissue Disease
MCU	Medical Centre of Washington
MCUG	Micturating CystoUrethroGram
MCV	Marrow Cyber Voyage
MCW	Medical Centre of Washington
MCWH	Medical College for Women and Hospital
MCWP	Maternity Care Working Party
MD	Medical Doctor
MD	Mis-Diagnosis
MD	Mind Destroying
MD	Manic Depressant
MD	Medical Department
MD	Muscular dystrophy
MDACC	M. D. Anderson Cancer Center
MDAP	Medical Device Application Profile
MDC	Metoprolol in Dilated Cardiomyopathy
MDCT	Multi Detector Computed Tomography
MDD	Medical Device Directive
MDD	Medical Data Drill
MDD	Major depressive disorder
MDH	McDonough District Hospital
MDH	Minnesota Department of Health
MDH	Michigan Department of Health
MDH	Manila Doctors Hospital
MDHC	McKay-Dee Hospital Center
MDI	Medical Data Integration
MDL	Medical Device Logistics
MDM	Multidisciplinary meeting
MDP	Manic Depressive Psychotic
MDQ	Maximum Daily Quantity
MDR	Multiple Drug Resistant
MDR TB	Multi-drug-resistant tuberculosis
MDRD	Modification of Diet in Renal Disease
MDRO	MultiDrug-Resistant Organism
MDS	Myoclonus dystonia syndrome
MDS/RAI/PPS	Minimum Data Set / Resident Assessment Protocols / Prospective Payment System
MDSS	Medical Device Safety Service
MDSS	Medical Decision Support System
MDSS	Medical Data Surveillance System
MDT	Multi Disciplinary Team
MDV	Multi- Dose Vial
ME	Medical Examiner
ME&EI	Massachusetts Eye and Ear Infirmary
MEA	Multiple endocrine adenomatosis
MEAS	Memorial Employee Assistance Services
MECC	Making Every Contact Count
MED	MEDical
MEDITRANS	Medical Transport Services
MEEI	Massachustts Eye & Ear Infirmary
MEH	Mount Elizabeth Hospital
MEH	Moorfields Eye Hospital
MEHT	Mid Essex Hospitals Trust
MELAS	Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes
MEM	Monocular Estimate Method
MEMC	Mt Eden Medical Centre
MEMC	Mount Elizabeth Medical Centre
MEMO	Medical Equipment Modernization Opportunity
MEN	Multiple Endocrine Neoplasia
MEOW	Medical Emergency Of the Week
MERCI	Medical Equipment Recovery of Clean Inventory
MERT	Medical Emergency Response Team
MET	Motivational Enhancement Therapy
METS	METabolic EquivalentS
MF	Meal Frequency
MFH	Migrant Friendly Hospitals
MFHA	Multicultural Foodservice Hospitality Alliance
MFM	Maternal Fetal Medicine
MFP	Master Facility Plan
MGH	Massachusetts General Hospital
MGH	Marquette General Hospital
MGH	Marion General Hospital
MGH	Mercy General Hospital
MGH	Montreal General Hospital
MGH	Mass General Hospital
MGH	Massachusetts General Hospital's
MGH	Man's Greatest Hospital
MGH/TEHN	Michael Garron Hospital, Toronto East Health Network
MGHS	Marquette General Health System
MGLH	Michigan Great Lakes Home
MGPA	Mass General Postdoc Association
MGSH	MedStar Good Samaritan Hospital
MH	Mental Hospital
MH	Malaysian hospitality
MHA	MS Hospital Assoc
MHA	Massachusetts Hospital Association
MHA	Maryland Hospital Association
MHA	Missouri Hospital Association
MHA	Mississippi Hospital Association
MHA	Montana Hospital Association
MHAC	Maryland Hospital Acquired Conditions
MHAU	Mental Health Assessment Unit
MHB	Maximum Hospital Benefit
MHC	Mental Health Cooperative
MHC	Mental Health Center
MHD	Methodist Hospitals of Dallas
MHF	Mental Health Facility
MHGC	Marshall Hospitality and Gaming Club
MHHC	Mental Health Hospital Center
MHI	Medicare Hospital Insurance
MHK	Maternity Hospital Kuwait
MHM	Masters in Hospital Management
MHM	Methodist Hospital Midlake
MHM	Memorial Hospital Miramar
MHOB	Mercy Hospital of Buffalo
MHQ	Middlesex Hospital Questionnaire
MHRP	Masanga Hospital Rehabilitation Project
MHS	Methodist Hospital of Sacramento
MHS	Military Healthcare System
MHSA	Methylated Human Serum Albumin
MHU	Mental Health Unit
MHW	Mercy Hospital for Women
MHW	Memorial Hospital West
MI	Myocardial infarction
MIA	Medical Information Anywhere
MIBI	Methoxyisobutylisonitrile
MIC	Minimum Inhibitory Concentration
MICA	Mental Illness and Chemical Abuse
MICS	Medical Implant Communications System
MICU	Medical Intensive Care Unit
MID	Multi-infarct dementia
MIDCAB	Minimally Invasive Direct Coronary Artery Bypass
MIDI	Minimal-Invasive, Deep-Intensive
MIGS	Minimally Invasive Gynecological Surgery
MIIP	Miniature Insulin Infusion Pump
MIND	Medical Investigation of Neuro-developmental Disorders
MIOT	Madras Institute of Orthopedics and Trauma
MIS	Medical Information System
MIS	Medical Imaging System
MIS	Minimal Intervention Strategy
MISC	Mediational Interaction for Sensitizing Caregivers
MISH	Minimally Invasive Surgery Hospital
MISME	Multiple inherited schwannomas, meningiomas, and ependymomas
MISP	Medically Indigent Services Program
MISS	Minimally Invasive Spinal Surgey
MIST	Minimally Invasive Surgical Treatment
MIST	Mobile International Surgical Team
MIST	Maternal Infant Support Team
MISU	Medical Information Systems Unit
MIT	Minimally Invasive Treatment
MITA	Medicaid Information Technology Architecture
MJD	Machado–Joseph disease
MJH	Martha Jefferson Hospital
MKUH	Milton Keynes University Hospital
MKW	McKenzie-Willamette Hospital
ML	Mucolipidoses
MLD	Metachromatic leukodystrophy
MLF	Medial longitudinal fasciculus
MLH	Mary Lane Hospital
MLLH	Mary Lott Lyles Hospital
MLPA	Multiplex ligation-dependent probe amplification
MMAH	Mississippi Mills Animal Hospital
MMAH	Munakata Medical Association Hospital
MMAP	Maximum Medical Aid Price
MMBH	Mildred Mitchell Bateman Hospital
MMC	Maine Medical Center
MMC	Murfreesboro Medical Clinic
MMCH	Margaret Mary Community Hospital
MMCH	Manmohan Memorial Community Hospital
MMCH	Mymensingh Medical College Hospital
MMCH	Magadh Medical College and Hospital
MMDS	Man Monitor Diagnostic System
MMGH	Minamisoma Municipal General Hospital
MMGH	Medical Mission Group Hospital
MMH	Morgan Memorial Hospital
MMH	Massena Memorial Hospital's
MMH	Massena Memorial Hospital
MMH	Montrose Memorial Hospital
MMH	Marietta Memorial Hospital
MMHF	Mayanja Memorial Hospital Foundation
MMHG	Manchester Methodist Housing Group
MMHg	MilliMeters of Mercury
MMOP	Multi-lateral Medical Operations Panel
MMOP	Merck Medical Outreach Program
MMP	Multiple Medical Problems
MMR	Measles, mumps, rubella
MMRC	MediSphere Medical Research Center
MMRC	Mississippi Methodist Rehabilitation Center
MMRI	Molecular Medicine Research Institute
MMT	Methadone Maintenance Treatment
MMUH	Mater Misericordiae University Hospital
MMWR	Morbidity and Mortality Weekly Report
MND	Motor neuron disease
MNI	Montreal Neurological Institute
MNP	Metabolic Nutrition Program
MNT	Medical Nutrition Therapy
MOC	Maintenance Of Certification
MOC	Mother Of Child
MoCAM	Models of Care for Alcohol Misusers
MOD	Medical Officer of the Day
MOD	Medicine On Delivery
MOD	Medic On Duty
MODY	Maturity onset diabetes of the young
MOH	Medication overuse headaches
MOHOST	Model of Human Occupation Screening Tool
MOI	Multiplicity Of Infection
MOM	Metal-On-Metal
MOMS	Management of myelomeningocele study
MONA	Morphine, Oxygen, Nitrates, Aspirin
MOPD	Medical Out-Patient Department
MOR	Michigan Operating Room
MORNU	Medically ordered not used
MOSH	Midwest Orthopedic Specialty Hospital
MPAN	Mitochondrial membrane protein-associated neurodegeneration
MPD	Myeloproliferative disorders
MPDT	Medical Practitioners Disciplinary Tribunal
MPE	Medical Presumptive Eligibility
MPH	Masters in Public Health
MPHO	Maine Physician Hospital Organization
MPHR	Mater Private Hospital Redland
MPI	Master Patient Index
MPI	Myocardial Perfusion Imaging
MPN	Myeloproliferative neoplasms
MPNBH	Morton Plant North Bay Hospital
MPOE	Mobile Physician Order Entry
MPRI	Midwest Proton Radiotherapy Institute
MPRSD	Mobile Plastic & Reconstructive Surgery & Dermatology
MPS	Master Patient Survey
MPS I	Mucopolysaccharoidosis type I
MPS II	Mucopolysaccharoidosis type II
MPS III	Mucopolysaccharoidosis type III
MPS IV	Mucopolysaccharoidosis type IV
MPS VI	Mucopolysaccharoidosis type VI
MPS VII	Mucopolysaccharoidosis type VII
MPSD	Medical and Pharmaceutical Services Division
MPSH	Menlo Park Surgical Hospital
MPT	Melphalan, Prednisone, Thalidomide
MPUH	Muljibhai Patel Urological Hospital
MR	Medicare Returned
MR	Medical Report
MR	Mitral Regurgitation
MR	Medical Representative
MR	Mentally retarded
MRA	Magnetic Resonance Arteriography
MRAC	Medical Review Advisory Committee
MRCH	Mad River Community Hospital
MRCP	Magnetic resonance cholangiopancreatography
MRD	Medical Records Department
MRF	Medication Request Form
MRF	Medical Response Force
MRH	Montgomery Regional Hospital
MRH	Moore Regional Hospital
MRH	Moab Regional Hospital
MRH	Millinocket Regional Hospital
MRH	Mandeville Regional Hospital
MRHP	Midlands Regional Hospital Portlaoise
MRI	Magnetic Resonance Imaging
MRI	Magnetic Resonate Imaging
MRI	MILSTRIP Routing Indicator
MRRS	Medical Record Retention System
MRRS	Medical Record Review Survey
MRS	Magnetic Resonance Spectroscopy
MRSA	Methicillin Resistant Staphylococcus Aureus
MRSA	Methicillin-Resistant Staphylococcus Aureus
MRSP	Medical Readiness Strategic Plan
MRSS	Mobile Response and Stabilization Services
MRT	Mean Residence Time
MRT	Magnetic Resonance Therapy
MS	Mental Status
MS	Markleton Sanitarium
MS	Multiple sclerosis
MSA	Mineral Spirits Acrylic
MSA	Multiple System Atrophy
MSA	Metabolic Stone Analysis
MSCT	Multi-Slice Computed Tomography
MSDD	Multi-sensory developmental delays
MSDL	MicroSuspension Direct Laryngoscopy
MSDS	Maximum Safety for Dental Solutions
MSDS	Medical Survey Data Sheet
MSH	Mississippi State Hospital
MSH	Mount Sinai Hospital
MSH	Montana State Hospital
MSH	Mesquite Specialty Hospital
MSHA	Mountain States Health Alliance
MSHAP	Multi-Sectoral HIV/AIDS Plans
MSHP	Masters of Science in Health Policy Research
MSIC	Medically Supervised Injection Centre
MSK	Memorial Sloan-Kettering Cancer Center
MSKCC	Memorial Sloan-Kettering Cancer Center
MSLH	Methodist Sugar Land Hospital
MSN	Medicare Summary Notice
MSNC	Morning Sickness Nutrition Clinic
MSOS	Medication Safety Officer Society
MSP	Medical Service Provider
MSRP	Medical Sciences Research Program
MSS	Maternal Serum Screening
MSS	Maternity Support Services
MSS	Medical Social Services
MST	Methodist Specialty and Transplant Hospital
MST	Morphine Sulphate Tablet
MST	Military Sexual Trauma
MSTH	Methodist Specialty and Transplant Hospital
MSU	Medical/Surgical Unit
MSVH	Mt Spokane Veterinary Hospital
MSVH	Main St Veterinary Hospital
MSW	Master of Social Work
MSWO	Multiple Stimulus WithOut replacement
MT	Medical Transcription
MT	Medical Technology
MTA	Medical Treatment after Accident
MTBC	Medical Transcription and Billing Corporation
MTC	Medullary thyroid cancer
MTD	Methadone
MTF	Military Treatment Facility
MTF	Medical Treatment Facility
MTF	More To Follow
MTFC	Multi-dimensional Treatment Foster Care
MTFS	Music Therapy For Seniors
MTH	Moses Taylor Hospital
MU	Messenger Unit
MUB	Medicaid Uniform Billing
MUE	Medication Usage Evaluation
MUH	Montefiore University Hospital
MUH	Mercy University Hospital
MUH	Macquarie University Hospital
MUHA	Medical University Hospital Authority
MUHC	McGill University Health Centre
MUHC	Medical Universal Human Counter
MUMH	Medstar Union Memorial Hospital
MUR	Medicine Use Review
MUR	Medical Utilization Review
MV	Mechanical Ventillation
MVEH	Mountain View Equine Hospital
MVH	Mesa Veterans Hospital
MVH	Miami Valley Hospital
MVI	Multiple Victim Incident
MVNT	Multinodular and vacuolating neuronal tumours
MVRBC	Mississippi Valley Regional Blood Center
MWC	Maximum Wellness Center
MWHF	Mary Washington Hospital Foundation
MWM	Medical Waste Management
MWT	Maintenance of Wakefulness Test
MX	Multiple
MYF	Magdi Yacoub Foundation
N	Needle
N Ed	Nursing Education
N/V/D	Nausea Vomiting and Diarrhea
NA	Natural Aspiration
NA	Not Assessed
NA	Nurse Anesthetist
NABH	National Accrediation Board for Hospitals
NABH	National Accreditation Board for Hospitals
NAC	Not A Candidate
NACS	National Administrative Codes Service
NACT	Neoadjuvant chemotherapy
NAMI	Naval Aerospace Medicine Institute
NAPH	National Association of Public Hospitals and Health Systems
NAPH	National Association of Public Hospitals
NAS	No Abnormality Seen
NAS	Neonatal abstinence syndrome
NASSA	Noradrenergic And Specific Serotonergic Antidepressant
NAT	Nutrition Analysis Tool
NATT	New Approaches to Target Tuberculosis
NAUH	National Association of Urban Hospitals
NBCRS	National Burn Center Reporting System
NBGH	New Britain General Hospital
NBGH	North Bay General Hospital
NBHD	North Broward Hospital District
NBIA	Neurodegeneration with brain iron accumulation
NBIMC	Naval Bloodborne Infection Management Center
NC/AT	NormoCephalic/ATraumatic
NCAH	Non-classical Congenital Adrenal Hyperplasia
NCAH	North Carolina Arts for Health
NCAH	North County Animal Hospital
NCH	Northwest Community Healthcare
NCH	Northwest Community Hospital
NCH	Nationwide Children's Hospital
NCH	Naples Community Hospital
NCH	Nantucket Cottage Hospital
NCHD	Non Consultant Hospital Doctor
